Fecha,S&P500,Comunicaciones,Servicios Públicos,Energético,Inmobiliario,Bienes Consumo Perecederos,Bienes Consumo Duradero,Industrial,Material,Financiero,Tecnológico,Salud
2013-08-08,1697.47998046875,,28.677101135253906,57.53567886352539,,32.4661750793457,53.54759979248047,38.07465362548828,33.90369415283203,13.865483283996582,28.012327194213867,43.82036590576172
2013-08-09,1691.4200439453125,,28.48063850402832,57.36204528808594,,32.32619857788086,53.43198013305664,37.94951629638672,34.10148620605469,13.818114280700684,27.872825622558594,43.66597366333008
2013-08-12,1689.469970703125,,28.327816009521484,57.11897659301758,,32.23289108276367,53.36083221435547,37.999568939208984,34.052024841308594,13.763976097106934,28.0559139251709,43.48585891723633
2013-08-13,1694.1600341796875,,28.175024032592773,57.22314453125,,32.2562255859375,53.36083221435547,38.16642379760742,34.1756591796875,13.831643104553223,28.24772071838379,43.64882278442383
2013-08-14,1685.3900146484375,,27.993099212646484,56.9592399597168,,32.03069305419922,52.77386474609375,37.899471282958984,34.10148620605469,13.777507781982422,28.2215633392334,43.30574417114258
2013-08-15,1661.3199462890625,,27.636545181274414,56.64666748046875,,31.517465591430664,51.84893798828125,37.47401428222656,33.854244232177734,13.57450008392334,27.76820945739746,42.576690673828125
2013-08-16,1655.8299560546875,,27.316377639770508,56.417484283447266,,31.33083724975586,51.662174224853516,37.52406311035156,33.59052658081055,13.547430992126465,27.742053985595703,42.3794059753418
2013-08-19,1646.06005859375,,27.083524703979492,55.52152633666992,,31.190866470336914,51.43983459472656,37.32383728027344,33.326820373535156,13.371492385864258,27.65486717224121,42.456607818603516
2013-08-20,1652.3499755859375,,27.338207244873047,55.86184310913086,,31.198637008666992,51.96455001831055,37.39058303833008,33.5163688659668,13.500065803527832,27.698463439941406,42.576690673828125
2013-08-21,1642.800048828125,,27.02532196044922,55.55624008178711,,30.95757484436035,51.51988983154297,37.1319580078125,33.26087951660156,13.405325889587402,27.637434005737305,42.31938171386719
2013-08-22,1656.9599609375,,27.178123474121094,56.38275146484375,,31.089763641357422,52.03569793701172,37.640846252441406,33.65645217895508,13.560967445373535,27.759490966796875,42.593841552734375
2013-08-23,1663.5,,27.403701782226562,56.785587310791016,,31.26861572265625,52.04460525512695,37.64918899536133,33.92842102050781,13.57450008392334,27.960018157958984,42.70532989501953
2013-08-26,1656.780029296875,,27.199947357177734,56.688350677490234,,30.90312385559082,51.937870025634766,37.565773010253906,33.92842102050781,13.486529350280762,27.829235076904297,42.765377044677734
2013-08-27,1630.47998046875,,27.185392379760742,56.33414840698242,,30.739826202392578,51.09299087524414,36.806610107421875,33.33505630493164,13.161717414855957,27.341005325317383,42.07063674926758
2013-08-28,1634.9599609375,,27.280004501342773,57.271759033203125,,30.50653839111328,51.36869812011719,36.8399772644043,33.269126892089844,13.18201732635498,27.358440399169922,42.250762939453125
2013-08-29,1638.1700439453125,,27.119911193847656,56.67444610595703,,30.630952835083008,51.61771011352539,36.94844055175781,33.37626266479492,13.215850830078125,27.50665855407715,42.3794059753418
2013-08-30,1632.969970703125,,27.14173698425293,56.653629302978516,,30.724275588989258,51.297542572021484,36.7398796081543,33.31856155395508,13.154949188232422,27.375877380371094,42.21645736694336
2013-09-03,1639.77001953125,,26.828840255737305,57.07033920288086,,30.700937271118164,51.662174224853516,36.973453521728516,33.5163688659668,13.263222694396973,27.40203285217285,42.49091339111328
2013-09-04,1653.0799560546875,,26.828840255737305,57.375938415527344,,30.89535140991211,52.204681396484375,37.34885787963867,33.82951736450195,13.364724159240723,27.663583755493164,42.97980880737305
2013-09-05,1655.0799560546875,,26.719696044921875,57.57040786743164,,30.848695755004883,52.22246551513672,37.44062805175781,33.8872184753418,13.398558616638184,27.68102264404297,43.03985595703125
2013-09-06,1655.1700439453125,,26.908891677856445,57.563453674316406,,30.926471710205078,52.160221099853516,37.42394256591797,33.84600067138672,13.398558616638184,27.698463439941406,43.0569953918457
2013-09-09,1671.7099609375,,27.00348472595215,58.20937728881836,,31.14419937133789,52.62267303466797,37.89111328125,34.35695266723633,13.554198265075684,28.029760360717773,43.3228874206543
2013-09-10,1683.989990234375,,27.214502334594727,58.230228424072266,,31.17530632019043,53.12960433959961,38.44170379638672,34.661869049072266,13.716612815856934,28.20412254333496,43.59737014770508
2013-09-11,1689.1300048828125,,26.945262908935547,58.67471694946289,,31.400814056396484,53.52092361450195,38.6002311706543,34.87614440917969,13.730142593383789,28.07335090637207,43.88897705078125
2013-09-12,1683.4200439453125,,26.872501373291016,58.32745361328125,,31.408592224121094,53.396392822265625,38.44170379638672,34.5135383605957,13.62863826751709,28.09950828552246,43.82036590576172
2013-09-13,1687.989990234375,,27.076248168945312,58.30663299560547,,31.66520881652832,53.54759979248047,38.550167083740234,34.74428176879883,13.669239044189453,28.12566375732422,43.92328643798828
2013-09-16,1697.5999755859375,,27.149019241333008,58.292728424072266,,31.95292854309082,53.787723541259766,39.05070877075195,35.13160705566406,13.818114280700684,28.082063674926758,44.31785202026367
2013-09-17,1704.760009765625,,27.309093475341797,58.556636810302734,,32.061805725097656,54.09899139404297,39.217559814453125,35.03271484375,13.885777473449707,28.2215633392334,44.343570709228516
2013-09-18,1725.52001953125,,28.124080657958984,59.26510238647461,,32.442840576171875,54.72152328491211,39.70976638793945,35.840335845947266,14.007586479187012,28.579025268554688,44.61802673339844
2013-09-19,1722.3399658203125,,27.993099212646484,59.119239807128906,,32.29509353637695,54.703731536865234,39.843231201171875,35.71673583984375,13.953450202941895,28.596460342407227,44.47221755981445
2013-09-20,1709.9100341796875,,27.570688247680664,58.63987350463867,,32.068939208984375,54.37371826171875,39.356300354003906,35.29928970336914,13.87939739227295,28.393211364746094,44.38867950439453
2013-09-23,1701.8399658203125,,27.901269912719727,58.353782653808594,,31.928075790405273,53.95450210571289,39.23060607910156,35.03425979614258,13.68238639831543,28.480815887451172,44.07862854003906
2013-09-24,1697.4200439453125,,27.88657569885254,58.40960693359375,,31.77939224243164,54.097225189208984,39.37307357788086,35.0177001953125,13.59406852722168,28.35816764831543,43.85470962524414
2013-09-25,1692.77001953125,,27.695573806762695,58.39565658569336,,31.513320922851562,53.767181396484375,39.197078704833984,35.10878372192383,13.66879653930664,28.314369201660156,43.51020431518555
2013-09-26,1698.6700439453125,,27.65884780883789,58.50029373168945,,31.67766761779785,54.275596618652344,39.37307357788086,35.3407096862793,13.66879653930664,28.419492721557617,43.66523742675781
2013-09-27,1691.75,,27.482540130615234,58.2979736328125,,31.482025146484375,54.28452682495117,39.12164306640625,34.91830825805664,13.621240615844727,28.24428367614746,43.66523742675781
2013-09-30,1681.550048828125,,27.453142166137695,57.851409912109375,,31.14553451538086,54.07938003540039,38.895362854003906,34.794071197509766,13.526128768920898,28.069063186645508,43.57048797607422
2013-10-01,1695.0,,27.533960342407227,58.22121047973633,,31.33333969116211,54.51642990112305,39.13840103149414,34.943153381347656,13.621240615844727,28.314369201660156,44.12169647216797
2013-10-02,1693.8699951171875,,27.563344955444336,58.353782653808594,,31.262910842895508,54.498592376708984,38.954036712646484,35.03425979614258,13.614449501037598,28.323123931884766,44.01835250854492
2013-10-03,1678.6600341796875,,27.24009895324707,57.84442901611328,,31.10640525817871,53.883140563964844,38.526611328125,34.736087799072266,13.512543678283691,28.07783317565918,43.63079071044922
2013-10-04,1690.5,,27.291536331176758,58.43054962158203,,31.15336036682129,54.391563415527344,38.778038024902344,35.24132537841797,13.621240615844727,28.19171905517578,44.11309051513672
2013-10-07,1676.1199951171875,,27.159299850463867,57.9490966796875,,31.05162811279297,53.62446594238281,38.509857177734375,34.810630798339844,13.464988708496094,28.069063186645508,43.62217330932617
2013-10-08,1655.449951171875,,27.350297927856445,57.32807159423828,,31.05162811279297,52.77711486816406,38.07405090332031,34.25571823120117,13.295145034790039,27.622278213500977,42.99345016479492
2013-10-09,1656.4000244140625,,27.46049690246582,57.12574005126953,,31.075090408325195,52.536285400390625,38.057281494140625,34.30541229248047,13.342700958251953,27.72740364074707,42.91594314575195
2013-10-10,1692.56005859375,,27.871885299682617,58.18634033203125,,31.654186248779297,53.758270263671875,39.037845611572266,35.03425979614258,13.723145484924316,28.19171905517578,43.91499710083008
2013-10-11,1703.199951171875,,28.004114151000977,58.81432342529297,,31.74808692932129,54.22208786010742,39.22222137451172,35.24132537841797,13.79787826538086,28.428251266479492,44.12169647216797
2013-10-14,1710.1400146484375,,27.849851608276367,59.2120361328125,,31.881128311157227,54.4450798034668,39.37307357788086,35.36555099487305,13.865808486938477,28.524620056152344,44.44035339355469
2013-10-15,1698.06005859375,,27.46049690246582,58.99573516845703,,31.591588973999023,53.927730560302734,38.979164123535156,35.15019607543945,13.763909339904785,28.349409103393555,44.15614700317383
2013-10-16,1721.5400390625,,27.710269927978516,59.881874084472656,,32.06111526489258,54.596702575683594,39.238983154296875,35.50634002685547,14.056034088134766,28.62098503112793,45.06045150756836
2013-10-17,1733.1500244140625,,28.15839195251465,60.007476806640625,,32.421085357666016,54.99808120727539,39.54068374633789,35.97016143798828,14.17831802368164,28.629751205444336,45.43940353393555
2013-10-18,1744.5,,28.231857299804688,60.66337966918945,,32.468040466308594,55.337032318115234,39.968116760253906,36.07783126831055,14.20549488067627,29.120344161987305,45.258544921875
2013-10-21,1744.6600341796875,,28.173080444335938,60.391239166259766,,32.397613525390625,55.479740142822266,40.068687438964844,36.069541931152344,14.17831802368164,29.27804183959961,45.025997161865234
2013-10-22,1754.6700439453125,,28.533052444458008,60.72618103027344,,32.804534912109375,55.854366302490234,40.336875915527344,36.591331481933594,14.20549488067627,29.269271850585938,45.44801712036133
2013-10-23,1746.3800048828125,,28.555095672607422,59.777217864990234,,32.86714172363281,55.49759292602539,40.35363006591797,36.35114669799805,14.090002059936523,29.129106521606445,45.36189270019531
2013-10-24,1752.0699462890625,,28.49631690979004,60.06330490112305,,32.804534912109375,56.050601959228516,40.655330657958984,36.53335952758789,14.110383987426758,29.199188232421875,45.36189270019531
2013-10-25,1759.77001953125,,28.79751205444336,60.42613983154297,,32.88278579711914,56.46981430053711,40.8648567199707,36.641029357910156,14.171525955200195,29.348115921020508,45.422183990478516
